session_id,user_id,timestamp,ip_address,mouse_movements,keyboard_inputs,time_on_page,js_enabled,is_bot
1,43,08-03-2024 10.52,99.158.154.214,95,52,139,1,1
2,26,06-08-2024 6.07,142.139.239.134,3,20,29,1,0
3,33,28-07-2024 23.37,48.78.154.45,60,83,106,1,1
4,44,04-05-2024 12.25,170.62.12.239,76,32,157,1,1
5,33,15-06-2024 12.08,129.207.17.3,54,11,43,1,0
6,25,14-03-2024 12.40,86.161.94.170,51,70,132,1,1
7,42,09-04-2024 2.33,79.124.10.32,31,69,85,1,1
8,44,22-02-2024 17.45,121.114.254.75,42,53,81,1,1
9,20,18-05-2024 1.56,78.52.115.55,4,47,184,1,1
10,43,02-02-2024 6.19,89.177.227.13,82,34,198,1,1
11,36,15-08-2024 8.03,221.191.15.132,41,81,150,1,1
12,5,30-06-2024 21.22,183.157.25.156,28,83,96,1,1
13,14,23-07-2024 21.54,197.243.3.176,66,60,168,1,0
14,27,17-07-2024 2.54,27.116.109.228,35,62,78,1,1
15,18,19-06-2024 5.37,152.222.211.243,26,48,147,1,1
16,27,13-02-2024 4.48,56.78.160.43,92,43,116,1,0
17,13,19-05-2024 18.50,25.236.124.241,64,26,165,1,1
18,42,17-08-2024 5.33,147.104.41.60,10,20,159,1,0
19,18,06-07-2024 18.51,15.59.83.120,35,43,58,1,1
20,8,16-01-2024 1.53,116.145.136.96,40,45,185,1,1
21,28,18-07-2024 10.44,8.167.47.252,29,83,50,1,1
22,22,19-04-2024 17.12,150.254.99.134,63,84,139,1,1
23,28,09-08-2024 5.58,15.29.234.226,5,79,47,1,1
24,27,08-08-2024 2.32,65.187.186.249,98,82,100,1,1
25,38,24-06-2024 11.10,111.131.173.133,57,12,87,1,0
26,43,29-01-2024 9.24,148.14.191.21,39,6,34,1,0
27,5,27-01-2024 19.33,212.220.99.234,25,88,81,1,0
28,16,20-07-2024 9.53,33.158.146.39,88,26,184,1,1
29,16,29-02-2024 9.47,83.30.61.6,16,79,165,1,0
30,40,03-08-2024 5.09,92.156.35.132,18,86,26,1,1
31,10,25-06-2024 14.25,106.194.126.81,22,63,32,1,0
32,23,13-08-2024 23.52,221.238.2.46,71,81,148,1,1
33,38,28-02-2024 5.37,75.131.35.215,67,55,76,1,1
34,1,17-08-2024 11.25,111.103.166.172,100,28,181,1,1
35,50,23-03-2024 15.05,88.190.253.176,5,87,123,1,0
36,46,06-03-2024 0.15,48.140.108.158,76,100,123,1,0
37,38,27-06-2024 5.38,197.71.130.153,40,70,86,1,1
38,49,04-04-2024 3.13,177.151.62.145,77,9,151,1,1
39,35,18-06-2024 5.29,130.194.129.38,37,72,152,1,1
40,17,19-08-2024 3.14,31.67.176.251,51,96,128,1,0
41,35,06-03-2024 18.44,212.175.37.53,44,53,200,1,1
42,26,05-07-2024 14.25,221.233.220.198,72,72,177,1,1
43,12,26-02-2024 20.37,206.124.127.154,94,87,51,1,0
44,48,28-04-2024 11.53,182.203.3.242,60,15,52,1,0
45,41,03-02-2024 4.57,145.86.226.237,27,37,125,1,1
46,7,08-01-2024 2.24,57.73.15.5,54,3,110,1,1
47,25,23-03-2024 18.17,88.127.56.159,70,2,185,1,1
48,37,07-03-2024 9.10,51.217.230.171,41,40,184,1,0
49,42,15-05-2024 1.12,109.102.60.32,78,66,79,1,0
50,9,13-05-2024 5.27,44.44.72.159,71,49,116,1,1
51,16,02-06-2024 18.56,108.19.208.241,81,35,105,1,1
52,44,17-07-2024 2.12,180.177.126.169,70,72,75,1,0
53,4,18-07-2024 13.57,217.147.137.240,53,10,128,1,1
54,37,09-08-2024 0.13,24.147.35.11,60,40,110,1,1
55,8,22-06-2024 5.54,33.82.70.76,71,39,133,1,0
56,31,31-07-2024 15.39,37.68.222.116,4,61,63,1,1
57,2,17-04-2024 13.15,176.145.145.152,48,75,20,1,1
58,23,16-01-2024 0.33,161.249.81.114,11,86,161,1,0
59,45,22-03-2024 23.28,151.48.85.65,34,12,118,1,1
60,37,12-07-2024 14.37,102.156.175.199,70,42,178,1,1
61,19,14-03-2024 3.27,177.201.90.153,75,1,21,1,1
62,10,06-05-2024 6.17,93.242.253.232,90,58,112,1,0
63,35,04-06-2024 9.31,17.159.22.90,35,60,15,1,1
64,44,30-03-2024 19.45,202.60.67.142,58,4,128,1,1
65,35,03-05-2024 15.45,220.58.105.67,87,25,71,1,0
66,26,10-06-2024 0.05,152.63.174.9,92,68,189,1,1
67,26,18-06-2024 22.04,75.174.159.167,54,31,73,1,1
68,38,30-05-2024 11.33,109.88.139.119,43,54,164,1,1
69,30,15-04-2024 15.49,131.119.46.111,5,20,171,1,1
70,3,14-08-2024 3.04,132.157.151.116,22,83,100,1,0
71,24,09-08-2024 1.45,26.211.186.82,73,2,150,1,1
72,12,17-06-2024 10.07,74.148.185.17,63,5,21,1,0
73,39,19-06-2024 21.57,135.105.243.52,16,27,112,1,1
74,19,28-02-2024 21.28,61.70.136.204,39,34,115,1,0
75,36,12-05-2024 1.21,85.164.31.222,33,14,128,1,0
76,21,24-06-2024 22.17,72.200.150.198,6,87,48,1,0
77,46,04-07-2024 15.55,101.225.181.76,27,41,179,1,0
78,7,23-08-2024 4.25,19.195.51.156,68,30,99,1,1
79,17,15-07-2024 23.11,43.21.29.115,12,76,151,1,0
80,49,08-03-2024 2.48,22.17.247.54,16,89,148,1,0
81,21,01-08-2024 23.03,174.74.29.201,93,74,183,1,0
82,37,18-02-2024 18.12,167.202.244.213,94,65,38,1,1
83,35,26-08-2024 22.09,209.127.61.172,91,24,39,1,0
